701,D-PQ,140,70,140,70,350,175
712,D-PQ,0,0,0,0,85,40
713,D-PQ,0,0,0,0,85,40
714,D-I,17,8,21,10,0,0
718,D-Z,85,40,0,0,0,0
720,D-PQ,0,0,0,0,85,40
722,D-I,0,0,140,70,21,10
724,D-Z,0,0,42,21,0,0
725,D-PQ,0,0,42,21,0,0
727,D-PQ,0,0,0,0,42,21
728,D-PQ,42,21,42,21,42,21
729,D-I,42,21,0,0,0,0
730,D-Z,0,0,0,0,85,40
731,D-Z,0,0,85,40,0,0
732,D-PQ,0,0,0,0,42,21
733,D-I,85,40,0,0,0,0
734,D-PQ,0,0,0,0,42,21
735,D-PQ,0,0,0,0,85,40
736,D-Z,0,0,42,21,0,0
737,D-I,140,70,0,0,0,0
738,D-PQ,126,62,0,0,0,0
740,D-PQ,0,0,0,0,85,40
741,D-I,0,0,0,0,42,21
742,D-Z,8,4,85,40,0,0
744,D-PQ,42,21,0,0,0,0
